"item,""value""";;;;;;;
"raw_nodes_in_vensim_sketch,""56""";;;;;;;
"unique_variables_in_signed_graph,""48""";;;;;;;
"signed_causal_links,""79""";;;;;;;
"positive_links,""53""";;;;;;;
"negative_links,""26""";;;;;;;
"unknown_polarity_code_count,""0""";;;;;;;
"unknown_polarity_code_values,""""";;;;;;;
"duplicate_variable_name_count,""8""";;;;;;;
"duplicate_variable_names,""30-Day Readmission Rate"; Discharge Planning Quality; Funding for Community Care/Services; Health Expenditure (GDP-Percent); Hospital Admissions; Hospital Budget Pressure; Hospital Capacity strain;" Pressure for Cost Containment"""
"conflicting_duplicate_links,""0""";;;;;;;
"self_links,""0""";;;;;;;
"largest_feedback_core_size,""27""";;;;;;;
"target_variable,""30-Day Readmission Rate""";;;;;;;
"max_loop_length,""16""";;;;;;;
"total_simple_feedback_loops,""155""";;;;;;;
"reinforcing_loops,""99""";;;;;;;
"balancing_loops,""56""";;;;;;;
"loops_including_target_variable,""144""";;;;;;;
"short_loops_leq_4_total,""8""";;;;;;;
"short_loops_leq_4_reinforcing,""2""";;;;;;;
"short_loops_leq_4_balancing,""6""";;;;;;;
"medium_loops_5_to_8_total,""66""";;;;;;;
"medium_loops_5_to_8_reinforcing,""57""";;;;;;;
"medium_loops_5_to_8_balancing,""9""";;;;;;;
"long_loops_9_to_16_total,""81""";;;;;;;
"long_loops_9_to_16_reinforcing,""40""";;;;;;;
"long_loops_9_to_16_balancing,""41""";;;;;;;
"path_cutoff_to_target,""47""";;;;;;;
"source_variables_assessed_for_target,""47""";;;;;;;
"path_influences_to_target_positive,""16""";;;;;;;
"path_influences_to_target_negative,""10""";;;;;;;
"path_influences_to_target_ambiguous,""21""";;;;;;;
"path_influences_to_target_zero,""0""";;;;;;;
"individual_diagnostic_paths_to_target,""820""";;;;;;;
